t_us,score_t_us,latest_data_t_us,baseline_version,uses_future_data
8886766044,8886766044,10655830045,10493534043,1
8906998043,8906998043,10655830045,10493534043,1
8927310043,8927310043,10655830045,10493534043,1
8947990047,8947990047,10655830045,10493534043,1
8968326044,8968326044,10655830045,10493534043,1
8988606044,8988606044,10655830045,10493534043,1
9008750047,9008750047,10655830045,10493534043,1
9028822047,9028822047,10655830045,10493534043,1
9049062043,9049062043,10655830045,10493534043,1
9069326047,9069326047,10655830045,10493534043,1
9089782046,9089782046,10655830045,10493534043,1
9110302043,9110302043,10655830045,10493534043,1
9130950047,9130950047,10655830045,10493534043,1
9151038043,9151038043,10655830045,10493534043,1
9171830043,9171830043,10655830045,10493534043,1
9192222045,9192222045,10655830045,10493534043,1
9212526043,9212526043,10655830045,10493534043,1
9232894043,9232894043,10655830045,10493534043,1
9252950047,9252950047,10655830045,10493534043,1
9273726043,9273726043,10655830045,10493534043,1
9293750043,9293750043,10655830045,10493534043,1
9313878044,9313878044,10655830045,10493534043,1
9334086043,9334086043,10655830045,10493534043,1
9354206047,9354206047,10655830045,10493534043,1
9374630047,9374630047,10655830045,10493534043,1
9394670043,9394670043,10655830045,10493534043,1
9414926044,9414926044,10655830045,10493534043,1
9434950045,9434950045,10655830045,10493534043,1
9455566043,9455566043,10655830045,10493534043,1
9476438043,9476438043,10655830045,10493534043,1
9497302043,9497302043,10655830045,10493534043,1
9517862045,9517862045,10655830045,10493534043,1
9538454043,9538454043,10655830045,10493534043,1
9559054043,9559054043,10655830045,10493534043,1
9579102043,9579102043,10655830045,10493534043,1
9599686046,9599686046,10655830045,10493534043,1
9619734047,9619734047,10655830045,10493534043,1
9640238047,9640238047,10655830045,10493534043,1
9660942043,9660942043,10655830045,10493534043,1
9681150043,9681150043,10655830045,10493534043,1
9701222046,9701222046,10655830045,10493534043,1
9721334044,9721334044,10655830045,10493534043,1
9741598043,9741598043,10655830045,10493534043,1
9761718043,9761718043,10655830045,10493534043,1
9782534047,9782534047,10655830045,10493534043,1
9802894046,9802894046,10655830045,10493534043,1
9823366043,9823366043,10655830045,10493534043,1
9843638043,9843638043,10655830045,10493534043,1
9863678047,9863678047,10655830045,10493534043,1
9884126047,9884126047,10655830045,10493534043,1
9904438046,9904438046,10655830045,10493534043,1
9924894043,9924894043,10655830045,10493534043,1
9945006043,9945006043,10655830045,10493534043,1
9965182047,9965182047,10655830045,10493534043,1
9985350043,9985350043,10655830045,10493534043,1
10005566043,10005566043,10655830045,10493534043,1
10025638043,10025638043,10655830045,10493534043,1
10045766047,10045766047,10655830045,10493534043,1
10065990047,10065990047,10655830045,10493534043,1
10086174043,10086174043,10655830045,10493534043,1
10106326045,10106326045,10655830045,10493534043,1
10126502044,10126502044,10655830045,10493534043,1
10146886043,10146886043,10655830045,10493534043,1
10167358043,10167358043,10655830045,10493534043,1
10187622043,10187622043,10655830045,10493534043,1
10207686043,10207686043,10655830045,10493534043,1
10227950047,10227950047,10655830045,10493534043,1
10248494043,10248494043,10655830045,10493534043,1
10269238043,10269238043,10655830045,10493534043,1
10289814044,10289814044,10655830045,10493534043,1
10310542044,10310542044,10655830045,10493534043,1
10330638047,10330638047,10655830045,10493534043,1
10351198047,10351198047,10655830045,10493534043,1
10371414043,10371414043,10655830045,10493534043,1
10392070043,10392070043,10655830045,10493534043,1
10412478043,10412478043,10655830045,10493534043,1
10433126043,10433126043,10655830045,10493534043,1
10453206043,10453206043,10655830045,10493534043,1
10473422043,10473422043,10655830045,10493534043,1
10493534043,10493534043,10655830045,10493534043,1
10513686043,10513686043,10655830045,10493534043,1
10533822043,10533822043,10655830045,10493534043,1
10554278046,10554278046,10655830045,10493534043,1
10574670043,10574670043,10655830045,10493534043,1
10594742043,10594742043,10655830045,10493534043,1
10614966043,10614966043,10655830045,10493534043,1
10635454043,10635454043,10655830045,10493534043,1
10655830045,10655830045,10655830045,10493534043,0
8640542043,8640542043,10676102043,10493534043,1
8661174047,8661174047,10676102043,10493534043,1
